INSERT INTO Working_Schedule VALUES ('T0011', 'S0035', '12-JAN-2018', 4);
INSERT INTO Working_Schedule VALUES ('T0019', 'S0079', '26-JAN-2018', 5);
INSERT INTO Working_Schedule VALUES ('T0006', 'S0006', '05-FEB-2018', 1);
INSERT INTO Working_Schedule VALUES ('T0012', 'S0062', '06-FEB-2018', 4);
INSERT INTO Working_Schedule VALUES ('T0007', 'S0028', '16-FEB-2018', 7);
INSERT INTO Working_Schedule VALUES ('T0004', 'S0003', '22-FEB-2018', 5);
INSERT INTO Working_Schedule VALUES ('T0027', 'S0022', '01-MAR-2018', 7);
INSERT INTO Working_Schedule VALUES ('T0007', 'S0048', '09-MAR-2018', 8);
INSERT INTO Working_Schedule VALUES ('T0023', 'S0070', '20-MAR-2018', 3);
INSERT INTO Working_Schedule VALUES ('T0025', 'S0036', '22-MAR-2018', 4);
INSERT INTO Working_Schedule VALUES ('T0004', 'S0023', '02-APR-2018', 4);
INSERT INTO Working_Schedule VALUES ('T0002', 'S0042', '05-APR-2018', 1);
INSERT INTO Working_Schedule VALUES ('T0015', 'S0048', '13-APR-2018', 5);
INSERT INTO Working_Schedule VALUES ('T0020', 'S0038', '20-APR-2018', 6);
INSERT INTO Working_Schedule VALUES ('T0029', 'S0030', '28-APR-2018', 6);
INSERT INTO Working_Schedule VALUES ('T0013', 'S0091', '01-MAY-2018', 4);
INSERT INTO Working_Schedule VALUES ('T0003', 'S0041', '04-MAY-2018', 3);
INSERT INTO Working_Schedule VALUES ('T0016', 'S0047', '08-MAY-2018', 1);
INSERT INTO Working_Schedule VALUES ('T0021', 'S0071', '13-MAY-2018', 2);
INSERT INTO Working_Schedule VALUES ('T0009', 'S0094', '19-MAY-2018', 6);
INSERT INTO Working_Schedule VALUES ('T0005', 'S0085', '28-MAY-2018', 8);
INSERT INTO Working_Schedule VALUES ('T0027', 'S0067', '06-JUN-2018', 1);
INSERT INTO Working_Schedule VALUES ('T0010', 'S0045', '17-JUN-2018', 5);
INSERT INTO Working_Schedule VALUES ('T0029', 'S0038', '28-JUN-2018', 4);
